Experiment parameters,,,,
parameter,value,,,
title,Seddelgjenkjenning: Brukertest,,,
experiment type,Category Judgement,,,
delay between stimuli switching,200ms,,,
Background colour,#808080,,,
Stimuli spacing,15px,,,
Same pair twice (flipped),no,,,
Show original,no,,,
,,,,
Image sets,,,,
set name,file name,,,
Upscaled - riktig,Upscale_00001_.png,,,
Upscaled - riktig,Upscale_00002_.png,,,
Upscaled - riktig,Upscale_00004_.png,,,
Upscaled - riktig,Upscale_00008_.png,,,
Upscaled - riktig,VeryGoodExample.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00323_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00021_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00024_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00025_.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00173_.png,,,
LORA - riktig,Lora-test_00001_.png,,,
LORA - riktig,Lora-test_00002_.png,,,
LORA - riktig,Lora-test_00003_.png,,,
LORA - riktig,Lora-test_00004_.png,,,
LORA - riktig,Lora-test_00005_.png,,,
ULDM - riktig,generated_49.png,,,
ULDM - riktig,generated_57.png,,,
ULDM - riktig,generated_88.png,,,
ULDM - riktig,generated_140.png,,,
ULDM - riktig,generated_187.png,,,
Ekte Sedler - riktig,669b85b6f3f69.png,,,
Ekte Sedler - riktig,367641-alexfas01.png,,,
Ekte Sedler - riktig,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,,,
Ekte Sedler - riktig,s-l120012_1.png,,,
Ekte Sedler - riktig,s-l120016_2.png,,,
,,,,
Observers,,,,
user ID,vision,post evalutation,degree,
3243,,,,
3244,,,,
3245,,,,
3247,,,,
3248,,,,
3250,,,,
3252,,,,
3253,,,,
3254,,,,
3255,,,,
3256,,,,
3257,,,,
3257,,,,
3258,,,,
3261,,,,
3262,,,,
3263,,,,
3264,,,,
3265,,,,
3266,,,,
3267,,,,
3268,,,,
3269,,,,
3270,,,,
3271,,,,
3272,,,,
3274,,,,
3276,,,,
3277,,,,
,,,,
Stimuli Results,,,,
observer id,session id,image,selected category,time spent (in seconds)
3243,8152,Upscale_00004_.png,Helt sikker falsk,7
3243,8152,New-dataset_batch_00173_.png,Helt sikker falsk,4
3243,8152,669b85b6f3f69.png,Helt sikker ekte,10
3243,8152,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,10
3243,8152,New-dataset_batch_00323_.png,Helt sikker falsk,3
3243,8152,367641-alexfas01.png,Trolig ekte,16
3243,8152,Upscale_00008_.png,Helt sikker falsk,3
3243,8152,Prompt-&-parameter-testing_00024_.png,Helt sikker falsk,2
3243,8152,Lora-test_00004_.png,Helt sikker falsk,4
3243,8152,Upscale_00002_.png,Helt sikker falsk,3
3243,8152,generated_88.png,Helt sikker falsk,4
3243,8152,Lora-test_00005_.png,Helt sikker falsk,3
3243,8152,Lora-test_00003_.png,Helt sikker falsk,2
3243,8152,Upscale_00001_.png,Helt sikker falsk,2
3243,8152,s-l120012_1.png,Helt sikker falsk,2
3243,8152,generated_49.png,Helt sikker falsk,5
3243,8152,generated_140.png,Helt sikker falsk,2
