epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7096,3.69439,5.15919,2.14636,0,0,0,0,2.58359,4.90929,1.83333,3.076e-05,3.076e-05,3.076e-05
2,20.9865,2.83621,4.96135,1.71224,0,0,0,0,2.00464,4.70635,1.54611,6.78396e-05,6.78396e-05,6.78396e-05
3,31.2153,1.87924,4.48322,1.36148,0.00131,0.06746,0.02352,0.00974,1.6238,4.37236,1.13254,0.000103397,0.000103397,0.000103397
4,41.3461,1.67797,4.0573,1.14918,0.00488,0.20856,0.09623,0.05105,1.50459,4.28664,1.02751,0.000137431,0.000137431,0.000137431
5,51.4018,1.5049,3.57414,1.06791,0.00951,0.36886,0.15598,0.08113,1.45924,4.14346,0.98858,0.000169943,0.000169943,0.000169943
6,60.5668,1.52554,3.06239,1.0281,0.01026,0.42294,0.1548,0.08947,1.40159,4.02551,0.9661,0.000200932,0.000200932,0.000200932
7,69.6707,1.49623,2.53899,1.0001,0.01498,0.62689,0.50314,0.29653,1.41924,3.68406,0.9457,0.000230399,0.000230399,0.000230399
8,78.8082,1.45183,2.18253,0.98884,0.98797,0.19465,0.57447,0.33965,1.39489,3.44196,0.93378,0.000258342,0.000258342,0.000258342
9,87.889,1.36227,1.79229,0.98638,0.01673,0.64773,0.59267,0.3658,1.46773,3.23753,0.9723,0.000284764,0.000284764,0.000284764
10,97.1637,1.42243,1.76326,0.99441,0.02058,0.75171,0.63967,0.39325,1.37111,3.11787,0.96854,0.000309662,0.000309662,0.000309662
11,107.205,1.39725,1.56943,0.96827,0.99756,0.15958,0.76208,0.44475,1.26542,3.00289,0.95156,0.000333039,0.000333039,0.000333039
12,116.663,1.36652,1.51321,0.96901,0.97881,0.20269,0.81122,0.4829,1.25305,2.84379,0.95949,0.000354892,0.000354892,0.000354892
13,126.1,1.45868,1.46751,0.97952,0.98653,0.20333,0.82378,0.51273,1.26005,2.72419,0.94225,0.000375223,0.000375223,0.000375223
14,135.441,1.30676,1.28222,0.97184,0.98861,0.25695,0.8849,0.53971,1.22212,2.4758,0.93888,0.000394031,0.000394031,0.000394031
15,144.833,1.30242,1.29893,0.95941,0.973,0.36632,0.9267,0.56988,1.2433,2.14987,0.981,0.000411317,0.000411317,0.000411317
16,154.43,1.3323,1.22409,0.95838,0.95246,0.43038,0.94512,0.57088,1.25364,2.05183,0.9781,0.00042708,0.00042708,0.00042708
17,163.676,1.30275,1.07276,0.97545,0.95361,0.61844,0.96742,0.56566,1.28991,1.88862,0.94702,0.00044132,0.00044132,0.00044132
18,173.056,1.26478,1.10637,0.97892,0.96547,0.70987,0.97014,0.56965,1.30251,1.78965,0.94095,0.000454038,0.000454038,0.000454038
19,182.284,1.33674,1.08288,0.96192,0.95458,0.80724,0.96843,0.597,1.23832,1.70809,0.93326,0.000465233,0.000465233,0.000465233
20,191.545,1.2929,1.1151,0.99805,0.96705,0.77354,0.97636,0.63924,1.15338,1.74164,0.93374,0.000474905,0.000474905,0.000474905
21,200.788,1.1867,1.06488,0.9427,0.97002,0.7412,0.97897,0.64833,1.14508,1.7483,0.92563,0.000464476,0.000464476,0.000464476
22,210.061,1.20026,1.04624,0.9471,0.97297,0.79364,0.98016,0.64727,1.20606,1.74005,0.92196,0.00044925,0.00044925,0.00044925
23,219.375,1.16545,0.98946,0.92694,0.96612,0.93833,0.98015,0.64516,1.22426,1.60734,0.92111,0.000434024,0.000434024,0.000434024
24,228.615,1.17217,0.9692,0.9463,0.95075,0.99235,0.98148,0.67292,1.11186,1.19725,0.90015,0.000418797,0.000418797,0.000418797
25,237.822,1.16434,1.02242,0.9584,0.94792,0.99147,0.9813,0.674,1.07786,1.05884,0.89422,0.000403571,0.000403571,0.000403571
26,247.113,1.11496,0.88749,0.94757,0.94762,0.99196,0.98051,0.66389,1.08537,1.00781,0.89536,0.000388345,0.000388345,0.000388345
27,256.353,1.12767,0.90742,0.92256,0.94914,0.98885,0.98022,0.66227,1.10052,1.01258,0.89032,0.000373119,0.000373119,0.000373119
28,265.525,1.11096,0.90474,0.92415,0.94994,0.98683,0.98132,0.67919,1.07263,1.04077,0.87631,0.000357893,0.000357893,0.000357893
29,275.231,1.10134,0.89892,0.93167,0.95448,0.98498,0.98175,0.68595,1.05312,1.08183,0.87025,0.000342666,0.000342666,0.000342666
30,284.443,1.13943,0.87139,0.93138,0.95769,0.98187,0.98077,0.67915,1.05898,1.08742,0.87232,0.00032744,0.00032744,0.00032744
31,293.641,1.12612,0.92438,0.92732,0.9581,0.98003,0.97962,0.66459,1.08803,1.03795,0.88095,0.000312214,0.000312214,0.000312214
32,302.928,1.12824,0.87605,0.93742,0.95049,0.9897,0.97902,0.67849,1.06121,0.90322,0.87752,0.000296988,0.000296988,0.000296988
33,312.17,1.17721,0.87707,0.91413,0.95128,0.99,0.9792,0.67896,1.07742,0.88652,0.88358,0.000281762,0.000281762,0.000281762
34,321.399,1.19415,0.896,0.94262,0.9506,0.98938,0.97899,0.68065,1.08187,0.90216,0.88898,0.000266535,0.000266535,0.000266535
35,330.541,1.0641,0.84947,0.91061,0.94904,0.98862,0.97921,0.68283,1.06831,0.90764,0.8806,0.000251309,0.000251309,0.000251309
36,339.815,1.10603,0.86381,0.93766,0.95222,0.98945,0.98091,0.69024,1.03093,0.87314,0.86764,0.000236083,0.000236083,0.000236083
37,349.169,1.14615,0.87458,0.94357,0.95147,0.99273,0.98079,0.68958,1.01599,0.84357,0.86636,0.000220857,0.000220857,0.000220857
38,358.361,1.089,0.82692,0.88908,0.95311,0.99043,0.98028,0.6924,1.00503,0.81393,0.86778,0.000205631,0.000205631,0.000205631
39,367.534,1.11876,0.82693,0.92514,0.95484,0.98625,0.9794,0.68565,1.02331,0.79614,0.87485,0.000190404,0.000190404,0.000190404
40,376.761,1.07597,0.86544,0.94,0.953,0.98357,0.97973,0.6823,1.01455,0.73744,0.87346,0.000175178,0.000175178,0.000175178
